candidate_id,rank,score,reasoning
CAND_0077337,1,1.412391,"Staff Machine Learning Engineer, 7.0 yrs in India; matches on semantic search, search, pinecone; strong overall fit; ideal experience band; highly responsive."
CAND_0081846,2,1.39024,"Lead AI Engineer, 6.7 yrs in India; matches on information retrieval, retrieval, learning to rank; strong overall fit; ideal experience band; highly responsive."
CAND_0002025,3,1.322482,"Senior AI Engineer, 5.9 yrs in India; matches on faiss, opensearch, search; strong overall fit; highly responsive."
CAND_0088025,4,1.314312,"Staff Machine Learning Engineer, 8.6 yrs in India; matches on pinecone, llm, transformers; strong overall fit; highly responsive."
CAND_0018499,5,1.288147,"Senior Machine Learning Engineer, 7.2 yrs in India; matches on weaviate, recommendation, pinecone; strong overall fit; ideal experience band."
CAND_0036184,6,1.285255,"Recommendation Systems Engineer, 6.0 yrs in India; matches on faiss, transformers, semantic search; strong overall fit; ideal experience band; highly responsive."
CAND_0071974,7,1.26198,"Senior AI Engineer, 7.8 yrs in India; matches on learning to rank, weaviate, bm25; strong overall fit; ideal experience band; highly responsive."
CAND_0046525,8,1.249438,"Senior Machine Learning Engineer, 6.1 yrs in India; matches on search, elasticsearch, information retrieval; strong overall fit; ideal experience band; highly responsive."
CAND_0076163,9,1.236424,"NLP Engineer, 6.9 yrs in India; matches on weaviate, bm25, semantic search; strong overall fit; ideal experience band; highly responsive."
CAND_0044222,10,1.233972,"AI Engineer, 7.7 yrs in India; matches on vector search, search, opensearch; strong overall fit; ideal experience band."
CAND_0006567,11,1.230195,"Senior AI Engineer, 7.9 yrs in India; matches on search, bm25, nlp; strong overall fit; ideal experience band; highly responsive."
CAND_0036437,12,1.229535,"Search Engineer, 4.8 yrs in India; matches on opensearch, search, elasticsearch; strong overall fit; below the 6-8 yr ideal; highly responsive."
CAND_0052328,13,1.226337,"Recommendation Systems Engineer, 6.5 yrs in India; matches on opensearch, search, recommendation; strong overall fit; ideal experience band; highly responsive."
CAND_0011162,14,1.221058,"Recommendation Systems Engineer, 5.8 yrs in India; matches on faiss, vector search, search; strong overall fit; highly responsive."
CAND_0099806,15,1.220268,"AI Engineer, 4.6 yrs in India; matches on faiss, embedding, sentence transformers; strong overall fit; below the 6-8 yr ideal; highly responsive."
CAND_0050454,16,1.219352,"AI Engineer, 6.8 yrs in India; matches on fine-tuning, llm, faiss; strong overall fit; ideal experience band; highly responsive."
CAND_0020708,17,1.217896,"Search Engineer, 4.2 yrs in India; matches on nlp, learning to rank, python; strong overall fit; below the 6-8 yr ideal; highly responsive."
CAND_0061265,18,1.217585,"Recommendation Systems Engineer, 6.6 yrs in India; matches on qdrant, learning to rank, vector search; strong overall fit; ideal experience band; highly responsive."
CAND_0074225,19,1.21432,"Machine Learning Engineer, 4.3 yrs in India; matches on recommendation, semantic search, search; strong overall fit; below the 6-8 yr ideal; highly responsive."
CAND_0068351,20,1.209659,"Lead AI Engineer, 6.4 yrs in India; matches on qdrant, search, elasticsearch; strong overall fit; ideal experience band; highly responsive."
CAND_0093912,21,1.194634,"Senior Data Scientist, 5.3 yrs in India; matches on milvus, embedding, recommendation; good fit."
CAND_0045250,22,1.192635,"Applied ML Engineer, 6.6 yrs in India; matches on sentence transformers, transformers, milvus; good fit; ideal experience band; highly responsive."
CAND_0064904,23,1.192306,"AI Engineer, 4.9 yrs in India; matches on embedding, transformers, search; good fit; below the 6-8 yr ideal; highly responsive."
CAND_0084819,24,1.18991,"Search Engineer, 4.5 yrs in India; matches on semantic search, search, bm25; good fit; below the 6-8 yr ideal; highly responsive."
CAND_0030031,25,1.188852,"AI Engineer, 5.7 yrs in India; matches on information retrieval, retrieval, python; good fit; highly responsive."
CAND_0006418,26,1.185447,"Machine Learning Engineer, 5.7 yrs in India; matches on semantic search, search, embedding; good fit; highly responsive."
CAND_0079387,27,1.183664,"AI Engineer, 6.9 yrs in India; matches on recommendation, python, sentence transformers; good fit; ideal experience band; highly responsive."
CAND_0055905,28,1.176714,"Senior Machine Learning Engineer, 8.1 yrs in UK; matches on search, elasticsearch, transformers; good fit; highly responsive."
CAND_0064326,29,1.169842,"Search Engineer, 7.6 yrs in India; matches on milvus, semantic search, search; good fit; ideal experience band; highly responsive."
CAND_0069905,30,1.16834,"Applied ML Engineer, 6.6 yrs in India; matches on recommendation, sentence transformers, transformers; good fit; ideal experience band; highly responsive."
CAND_0005260,31,1.163195,"Senior NLP Engineer, 5.2 yrs in India; matches on information retrieval, retrieval, semantic search; good fit; highly responsive."
CAND_0053591,32,1.161671,"AI Engineer, 5.3 yrs in Canada; matches on embedding, milvus, opensearch; good fit; highly responsive."
CAND_0041669,33,1.161656,"Recommendation Systems Engineer, 8.0 yrs in India; matches on faiss, milvus, semantic search; good fit; ideal experience band; highly responsive."
CAND_0011687,34,1.155468,"Senior NLP Engineer, 7.8 yrs in India; matches on opensearch, search, faiss; good fit; ideal experience band; highly responsive."
CAND_0044855,35,1.142022,"Senior Data Scientist, 6.6 yrs in India; matches on learning to rank, transformers, opensearch; good fit; ideal experience band."
CAND_0042100,36,1.140071,"Machine Learning Engineer, 7.3 yrs in Singapore; matches on search, elasticsearch, learning to rank; good fit; ideal experience band; highly responsive."
CAND_0010257,37,1.136273,"Senior Data Scientist, 6.5 yrs in India; matches on milvus, python, opensearch; good fit; ideal experience band; highly responsive."
CAND_0052682,38,1.136123,"NLP Engineer, 6.6 yrs in India; matches on semantic search, search, faiss; good fit; ideal experience band; highly responsive."
CAND_0042506,39,1.135984,"Search Engineer, 4.2 yrs in India; matches on semantic search, search, fine-tuning; good fit; below the 6-8 yr ideal."
CAND_0079064,40,1.135774,"Senior Data Scientist, 5.2 yrs in India; matches on opensearch, search, nlp; good fit; highly responsive."
CAND_0095528,41,1.133548,"Senior Data Scientist, 5.3 yrs in India; matches on opensearch, search, semantic search; good fit."
CAND_0054123,42,1.131685,"Applied ML Engineer, 4.7 yrs in India; matches on python, weaviate, qdrant; good fit; below the 6-8 yr ideal; highly responsive."
CAND_0062247,43,1.131059,"AI Engineer, 7.3 yrs in India; matches on pinecone, vector search, search; good fit; ideal experience band; highly responsive."
CAND_0065195,44,1.130009,"Search Engineer, 5.1 yrs in India; matches on llm, search, elasticsearch; good fit; highly responsive."
CAND_0039383,45,1.123081,"Applied ML Engineer, 7.1 yrs in India; matches on faiss, recommendation, transformers; good fit; ideal experience band."
CAND_0018549,46,1.121207,"Recommendation Systems Engineer, 6.8 yrs in India; matches on weaviate, search, elasticsearch; good fit; ideal experience band; highly responsive."
CAND_0096142,47,1.120088,"Applied ML Engineer, 5.0 yrs in India; matches on weaviate, pinecone, python; good fit; highly responsive."
CAND_0008425,48,1.119813,"Senior NLP Engineer, 7.8 yrs in India; matches on learning to rank, qdrant, sentence transformers; good fit; ideal experience band."
CAND_0061655,49,1.116766,"Machine Learning Engineer, 4.6 yrs in India; matches on pinecone, qdrant, nlp; good fit; below the 6-8 yr ideal; highly responsive."
CAND_0083307,50,1.115716,"Search Engineer, 7.8 yrs in India; matches on embedding, pinecone, weaviate; good fit; ideal experience band; highly responsive."
CAND_0051615,51,1.115124,"Search Engineer, 4.6 yrs in India; matches on milvus, sentence transformers, transformers; moderate fit; below the 6-8 yr ideal; highly responsive."
CAND_0066376,52,1.112665,"Applied ML Engineer, 5.7 yrs in India; matches on recommendation, learning to rank, llm; moderate fit."
CAND_0061257,53,1.111127,"Staff Machine Learning Engineer, 8.0 yrs in India; matches on information retrieval, retrieval, search; moderate fit; ideal experience band; highly responsive."
CAND_0081686,54,1.110757,"Search Engineer, 6.0 yrs in USA; matches on embedding, faiss, milvus; moderate fit; ideal experience band; highly responsive."
CAND_0046064,55,1.11074,"Senior NLP Engineer, 8.9 yrs in India; matches on python, pinecone, bm25; moderate fit; highly responsive."
CAND_0075249,56,1.109216,"Applied ML Engineer, 6.2 yrs in India; matches on sentence transformers, transformers, milvus; moderate fit; ideal experience band; highly responsive."
CAND_0030468,57,1.103679,"Senior Applied Scientist, 5.4 yrs in India; matches on information retrieval, retrieval, search; moderate fit; highly responsive."
